id_cliente,nombre,id_tipo_cliente,id_etapa_trazabilidad,ciudad,email,telefono,fecha_registro,estado
1,Liceo Moderno #4,2,4,Bogota,cliente1@empresa.com.co,325614226,2025-06-06,activo
2,Daniela Torres,1,5,Bogota,cliente2@gmail.com,302719583,2025-08-12,activo
3,Catalina Martinez,1,5,Bogota,cliente3@gmail.com,328078673,2026-04-15,activo
4,Almacenes Exito #2,5,5,Cartagena,cliente4@empresa.com.co,304668136,2025-01-06,activo
5,Daniela Mendoza,1,5,Barranquilla,cliente5@gmail.com,321445199,2025-04-13,activo
6,Catalina Ramirez,1,4,Medellin,cliente6@gmail.com,328038374,2024-06-25,activo
7,Totto Unicentro #15,4,5,Bogota,cliente7@empresa.com.co,325667265,2025-09-21,activo
8,Andres Hernandez,1,4,Cali,cliente8@gmail.com,328090293,2025-06-29,activo
9,Felipe Vargas,1,5,Ibague,cliente9@gmail.com,304612365,2025-12-11,activo
10,Distrimax SAS #7,5,5,Manizales,cliente10@empresa.com.co,307374122,2025-08-05,activo
11,Totto C.C. Andino #12,4,5,Bogota,cliente11@empresa.com.co,315437923,2024-10-20,activo
12,Camila Gutierrez,1,4,Medellin,cliente12@gmail.com,323094235,2025-03-07,activo
13,David Martinez,1,4,Cartagena,cliente13@gmail.com,325918715,2025-02-12,activo
14,Andrea Rojas,1,5,Cali,cliente14@gmail.com,324226067,2024-09-10,activo
15,Consultora Vertex #9,3,5,Bogota,cliente15@empresa.com.co,304823498,2026-05-12,activo
16,Colegio Britanico #11,2,4,Bogota,cliente16@empresa.com.co,302694522,2024-06-04,activo
17,Seguros Bolivar Ltda #36,3,3,Barranquilla,cliente17@empresa.com.co,317120868,2025-11-07,activo
18,Gimnasio Campestre #48,2,4,Bogota,cliente18@empresa.com.co,314514944,2025-02-14,activo
19,Mateo Martinez,1,5,Pereira,cliente19@gmail.com,323871230,2025-08-23,activo
20,Catalina Torres,1,5,Bogota,cliente20@gmail.com,308755439,2025-01-10,activo
21,David Vargas,1,4,Bucaramanga,cliente21@gmail.com,324684531,2025-09-03,activo
22,Totto Santafe #27,4,5,Medellin,cliente22@empresa.com.co,304842788,2024-08-26,activo
23,Colegio San Jose #41,2,4,Bucaramanga,cliente23@empresa.com.co,315491946,2025-07-10,activo
24,Liceo Moderno #28,2,5,Medellin,cliente24@empresa.com.co,326279418,2025-06-12,activo
25,Sebastian Jimenez,1,4,Bogota,cliente25@gmail.com,318698256,2024-08-17,activo
26,Santiago Vargas,1,4,Barranquilla,cliente26@gmail.com,305137722,2025-01-13,activo
27,Catalina Pena,1,4,Manizales,cliente27@gmail.com,318187926,2024-11-27,activo
28,Nicolas Ortiz,1,5,Bucaramanga,cliente28@gmail.com,314679591,2024-11-12,activo
29,Santiago Mendoza,1,5,Bogota,cliente29@gmail.com,312525206,2024-09-25,activo
30,Totto C.C. Andino #28,4,5,Cartagena,cliente30@empresa.com.co,303564251,2025-08-31,activo
31,Consultora Vertex #21,3,5,Cartagena,cliente31@empresa.com.co,328082668,2024-10-13,activo
32,Totto Chipichape #3,4,5,Cali,cliente32@empresa.com.co,317402509,2026-01-03,activo
33,Totto Chipichape #15,4,5,Bogota,cliente33@empresa.com.co,325218028,2024-08-19,activo
34,Catalina Gomez,1,5,Medellin,cliente34@gmail.com,322921859,2026-01-10,activo
35,Consultora Vertex #69,3,5,Bogota,cliente35@empresa.com.co,316707197,2025-06-03,activo
36,Valentina Morales,1,5,Bogota,cliente36@gmail.com,313653446,2024-08-26,activo
37,Carlos Gomez,1,4,Cucuta,cliente37@gmail.com,325418934,2025-01-19,activo
38,Diego Hernandez,1,4,Barranquilla,cliente38@gmail.com,322785277,2025-02-17,activo
39,Distrimax SAS #33,5,5,Ibague,cliente39@empresa.com.co,324337174,2024-11-29,activo
40,Santiago Rojas,1,4,Bogota,cliente40@gmail.com,309897858,2024-12-23,activo
41,Andres Rivera,1,5,Cali,cliente41@gmail.com,319197443,2025-05-28,activo
42,Andres Lopez,1,4,Bogota,cliente42@gmail.com,316159230,2026-03-16,activo
43,Daniela Rodriguez,1,1,Bogota,cliente43@gmail.com,302321324,2025-05-19,inactivo
44,Almacenes Exito #32,5,5,Bogota,cliente44@empresa.com.co,309937326,2025-09-27,activo
45,Gimnasio Campestre #17,2,4,Bogota,cliente45@empresa.com.co,328973915,2025-11-07,activo
46,Catalina Hernandez,1,1,Barranquilla,cliente46@gmail.com,319852897,2025-08-31,inactivo
47,Andrea Suarez,1,5,Bogota,cliente47@gmail.com,304374754,2026-01-23,activo
48,Sofia Ortiz,1,4,Bogota,cliente48@gmail.com,327264956,2024-06-30,activo
49,Carlos Mendoza,1,3,Barranquilla,cliente49@gmail.com,313030113,2024-06-12,activo
50,Daniela Torres,1,5,Bogota,cliente50@gmail.com,306672134,2025-09-08,activo
51,Andres Cortes,1,5,Barranquilla,cliente51@gmail.com,324860684,2025-03-06,activo
52,Tiendas Multimarca SA #15,5,4,Bogota,cliente52@empresa.com.co,302191066,2025-02-01,activo
53,Camila Torres,1,2,Cucuta,cliente53@gmail.com,301527021,2026-02-22,inactivo
54,Felipe Martinez,1,4,Barranquilla,cliente54@gmail.com,324993055,2026-01-10,activo
55,Mateo Jimenez,1,5,Cali,cliente55@gmail.com,303219824,2024-11-22,activo
56,Nicolas Cortes,1,5,Manizales,cliente56@gmail.com,315076817,2026-03-11,activo
57,Natalia Suarez,1,4,Medellin,cliente57@gmail.com,302582524,2025-02-07,activo
